�;M86.8;9825
10013520;Гилкриста болезнь;B40.9;13530
10013521;Гилфорда-Гетчинсона болезнь;E34.8;13531
10013522;Гильденбранда болезнь;A75.0;13532
10013523;Гименолепидоз;B71.0;13533
10013524;Гимнастика дыхательная;Z50.1;13534
10013525;Гимнастика корригирующая;Z50.1;13535
10013526;Гимнастика лечебная;Z50.1;13536
10013527;Гинандризм;Q56.0;13537
10013528;Гинандробластома неуточненной локализации у женщин;D39.1;13538
10013529;Гинандробластома неуточненной локализации у мужчин;D40.1;13539
10013530;Гингивит;K05.1;13540
10013531;Гингивит Венсана;A69.1;13541
10013532;Гингивит некротизирующий язвенный;A69.1;13542
10013533;Гингивит некротизирующий язвенный острый;A69.1;13543
10013534;Гингивит острый;K05.0;13544
10013535;Гингивит острый некротизирующий;A69.1;13545
10013536;Гингивит пеллагрический;E52;13546
10013537;Гингивит пеллагрический острый некротизирующий;A69.1;13547
10013538;Гингивит хронический;K05.1;13548
10013539;Гингивит хронический гиперпластический;K05.1;13549
10013540;Гингивит хронический десквамативный;K05.1;13550
10013541;Гингивит хронический маргинальный простой;K05.1;13551
10013542;Гингивит хронический язвенный;K05.1;13552
10013543;Гингивоглоссит;K14.0;13553
10013544;Гингивоз;K05.1;13554
10013545;Гингивостоматит;K05.1;13555
10013546;Гингивостоматит герпетический;B00.2;13556
10013547;Гингивостоматит некротизирующий язвенный;A69.1;13557
10013548;Гингивостоматит некротизирующий язвенный острый;A69.1;13558
10013549;Гинекологическое обследование;Z01.4;13559
10013550;Гинекологическое обследование общее;Z01.4;13560
10013551;Гинекологическое обследование рутинное;Z01.4;13561
10013552;Гинекомастия;N62;13562
10013553;Гинефобия;F40.1;13563
10013554;Гипалгезия;R20.8;13564
10013555;Гиперадренализм;E27.5;13565
10013556;Гиперадренокортицизм;E24.9;13566
10013557;Гиперадренокортицизм врожденный;E25.0;13567
10013558;Гиперадренокортицизм гипофизарный;E24.0;13568
10013559;Гиперадренокортицизм гипофизарный гипофиззависимый;E24.0;13569
10013560;Гиперадренокортицизм ятрогенный при неправильном назначении лекарственного средства;T38.0;13570
10013561;Гиперадренокортицизм ятрогенный при передозировке лекарственного средства;T38.0;13571
10013562;Гиперадренокортицизм ятрогенный при правильном введении соответствующего назначению лекарственного средства;E24.2;13572
10013563;Гиперадренокортицизм ятрогенный при приеме лекарственного средства по ошибке;T38.0;13573
10013564;Гиперадренокортицизм, не связанный с синдромом Кушинга;E27.0;13574
10013565;Гиперактивное расстройство, сочетающееся с олигофренией и стереотипными движениями;F84.4;13575
10013566;Гиперактивность базальных клеток, шейки матки;N87.9;13576
10013567;Гиперактивность желудка;K31.8;13577
10013568;Гиперактивность желудочно-кишечная;K31.8;13578
10013569;Гиперактивность желудочно-кишечная психогенная;F45.3;13579
10013570;Гиперактивность кишечных шумов;R19.1;13580
10013571;Гиперактивность мочевого пузыря;N32.8;13581
10013572;Гиперактивность мышцы детрузора;N32.8;13582
10013573;Гиперактивность ребенка;F90.9;13583
10013574;Гиперактивность ребенка с дефицитом внимания;F90.0;13584
10013575;Гиперактивность слизистой оболочки носа;J34.3;13585
