�ледствие рахита;E64.3;70100
10070537;Спондилит атрофический пояснично-грудного отдела;M45.5;70610
10070539;Спондилит атрофический пояснично-крестцового отдела;M45.7;70611
10070546;Спондилит атрофический связочный грудного отдела;M45.4;70612
10070550;Спондилит атрофический связочный крестцового и крестцово-копчикового отдела;M45.8;70613
10070542;Спондилит атрофический связочный множественных отделов позвоночника;M45.0;70614
10070551;Спондилит атрофический связочный неуточненной локализации;M45.9;70615
10070543;Спондилит атрофический связочный области затылка, первого и второго шейных позвонков;M45.1;70616
10070544;Спондилит атрофический связочный области шеи;M45.2;70617
10070548;Спондилит атрофический связочный поясничного отдела;M45.6;70618
10070547;Спондилит атрофический связочный пояснично-грудного отдела;M45.5;70619
10070549;Спондилит атрофический связочный пояснично-крестцового отдела;M45.7;70620
10070545;Спондилит атрофический связочный шейно-грудного отдела;M45.3;70621
10070535;Спондилит атрофический шейно-грудного отдела;M45.3;70622
10070552;Спондилит гонококковый;A54.4;70623
10070553;Спондилит деформирующий;M47.9;70624
10070554;Спондилит деформирующий хронический;M47.9;70625
10070555;Спондилит инфекционный;M46.5;70626
10070556;Спондилит крестцово-подвздошный;M46.1;70627
10070557;Спондилит Кюммеля;M48.3;70628
10070562;Спондилит Мари-Штрюмпелля грудного отдела;M45.4;70629
10070566;Спондилит Мари-Штрюмпелля крестцового и крестцово-копчикового отдела;M45.8;70630
10070558;Спондилит Мари-Штрюмпелля множественных отделов позвоночника;M45.0;70631
10070567;Спондилит Мари-Штрюмпелля неуточненной локализации;M45.9;70632
