�ледствие рахита;E64.3;70100
10070373;Спайки семенного канатика врожденные;Q55.4;70444
10070374;Спайки семенного канатика приобретенные;N50.8;70445
10070375;Спайки семенного пузырька;N50.8;70446
10070376;Спайки сердечные;I31.0;70447
10070377;Спайки сердечные при ревматизме;I09.2;70448
10070378;Спайки слепой кишки;K66.0;70449
10070379;Спайки спинальных мозговых оболочек;G96.1;70450
10070380;Спайки спинальных мозговых оболочек при туберкулезе;A17.0;70451
10070381;Спайки спинномозгового канала;G96.1;70452
10070382;Спайки средостения;J98.5;70453
10070383;Спайки стекловидного тела;H43.8;70454
10070384;Спайки стягивающие врожденные;Q79.8;70455
10070385;Спайки сустава плеча;M75.0;70456
10070386;Спайки суставные;M24.8;70457
10070387;Спайки сфинктера мочевого пузыря;N32.8;70458
10070388;Спайки тазовые послеродовые;N73.6;70459
10070389;Спайки тазовые послеродовые старые;N73.6;70460
10070390;Спайки тазовые туберкулезные;A18.1;70461
10070391;Спайки тазовые у женщины;N73.6;70462
10070392;Спайки тазовые у женщины послеоперационные;N99.4;70463
10070393;Спайки тазовые у мужчины;K66.0;70464
10070394;Спайки толстой кишки;K66.0;70465
10070395;Спайки трахеи;J39.8;70466
10070396;Спайки тубоовариальные;N73.6;70467
10070397;Спайки церебральных оболочек;G96.1;70468
10070398;Спайки церебральных оболочек при туберкулезе;A17.0;70469
10070399;Спайки цилиарного тела;H21.5;70470
10070400;Спайки червеобразного отростка;K38.8;70471
10070401;Спайки шеечно-влагалищные;N88.1;70472
10070402;Спайки шеечно-влагалищные врожденные;Q52.8;70473
10070403;Спайки шеечно-влагалищные послеродовые;O90.8;70474
10070404;Спайки шеечно-влагалищные послеродовые старые;N88.1;70475
10070405;Спайки шейки матки;N88.1;70476
10070406;Спайки языка врожденные;Q38.3;70477
10070407;Спайки языка с десной врожденные;Q38.3;70478
10070408;Спайки языка с небом врожденные;Q38.3;70479
10070409;Спайки яичка;N50.8;70480
10070410;Спайки яичника;N73.6;70481
10070411;Спайки яичника врожденные;Q50.3;70482
10070412;Спайки яичника с почкой врожденные;Q50.3;70483
10070413;Спайки яичника с сальником врожденные;Q50.3;70484
10070414;Спайки яичника со слепой кишкой врожденные;Q50.3;70485
10070415;Спарганоз;B70.1;70486
10070416;Спастическая артерия;I73.9;70487
10070417;Спастическая артерия сетчатки;H34.2;70488
10070418;Спастическая матка;N85.8;70489
10070419;Спастическая матка, осложняющая родоразрешение;O62.4;70490
10070420;Спастическая матка, осложняющая родоразрешение, влияние на новорожденного;P03.6;70491
10070421;Спастическая мозговая артерия;G45.9;70492
10070422;Спастический внешний сфинктер мочевого пузыря;N32.8;70493
10070423;Спастический внешний сфинктер мочевого пузыря психогенный;F45.3;70494
10070424;Спастический внутренний сфинктер мочевого пузыря;N32.8;70495
10070425;Спастический внутренний сфинктер мочевого пузыря психогенный;F45.3;70496
10070426;Спастический мочевой пузырь;N32.8;70497
10070427;Спастический мочевой пузырь психогенный;F45.3;70498
10070428;Спастический сфинктер мочевого пузыря;N32.8;70499
10070429;Спастический сфинктер мочевого пузыря психогенный;F45.3;70500
10070430;Спастический тик;F95.9;70501
10070431;Спастичность детская;G80.1;70502
10070432;Спастичность детская врожденная;G80.1;70503
10070433;Спастичность детская церебральная;G80.1;70504
10070434;Спастичность мышечная;R25.2;70505
10070435;Сперматорея;N50.8;70506
10070436;Сперматоцеле;N43.4;70507
10070437;Сперматоцеле врожденное;Q55.4;70508
10070438;Сперматоцистит;N49.0;70509
10070439;Спермацитома неуточненной локализации;C62.9;70510
10070440;Специфические трудности правописания;F81.0;70511
10070441;Специфические трудности чтения;F81.0;70512
10070442;Специфические трудности чтения или правописания вторичные нарушения узнавания и понимания символов и знаков;R48.8;70513
10070443;СПИД;B24;70514
10070444;СПИД ассоциированный комплекс;B24;70515
10070445;СПИД, осложняющий беременность;O98.7;70516
10070446;СПИД, осложняющий послеродовый период;O98.7;70517
10070447;СПИД, осложняющий роды;O98.7;70518
10070448;СПИД-ассоциированный комплекс, осложняющий беременность;O98.7;70519
10070449;СПИД-ассоциированный комплекс, осложняющий деторождение;O98.7;70520
10070450;СПИД-ассоциированный комплекс, осложняющий послеродовый период;O98.7;70521
10070451;Спинальный мочевой пузырь;G95.8;70522
10070452;Спинальный мочевой пузырь табетический;A52.1;70523
10070453;Спинная сухотка;A52.1;70524
10070454;Спириллез;A25.0;70525
10070455;Спирометроз;B70.1;70526
10070456;Спирохетоз;A69.9;70527
10070457;Спирохетоз желтушно-геморрагический;A27.0;70528
10070458;Спленит;D73.8;70529
10070459;Спленит внутритканевой;D73.8;70530
10070460;Спленит злокачественный;D73.8;70531
10070461;Спленит неспецифический;D73.8;70532
10070462;Спленит туберкулезный;A18.8;70533
10070463;Спленоз;D73.8;70534
10070464;Спленомегалия;R16.1;70535
10070465;Спленомегалия врожденная;Q89.0;70536
10070466;Спленомегалия Гоше;E75.2;70537
10070467;Спленомегалия египетская;B65.1;70538
10070468;Спленомегалия застойная хроническая;D73.2;70539
